name,title,company,source
"Deepti GeorgeDeputy Executive Director & Head of Strategy, Dvara Research",Deepti George,,scraped_techsparks2024
"Achyutha SharmaDesign & User research Expert, Dvara Research",Achyutha Sharma,,scraped_techsparks2024
"Sharat ChandraFounder, EmpowerEdge Ventures",Sharat Chandra,,scraped_techsparks2024
"Sumit GuptaBuilder & Founder, CoinDCX",Sumit Gupta,,scraped_techsparks2024
"Mabel ChackoCo-founder & COO, Open Financial Technologies",Mabel Chacko,,scraped_techsparks2024
"Deena JacobCo-founder & CFO, Open Financial Technologies",Deena Jacob,,scraped_techsparks2024
"Anish AchuthanCo-founder & CEO, Open Financial Technologies",Anish Achuthan,,scraped_techsparks2024
"Payal  GangulyManaging Editor, YourStory",Payal  Ganguly,,scraped_techsparks2024
"Ajeesh AchuthanCo-founder & CTO, Open Financial Technologies",Ajeesh Achuthan,,scraped_techsparks2024
"Shivaarti BajajFounding Managing Partner, RSD Bajaj Global Law Firm",Shivaarti Bajaj,,scraped_techsparks2024
"Varun BajajFounding Managing Partner, RSD Bajaj Global Law Firm",Varun Bajaj,,scraped_techsparks2024
"Debolina BiswasLead - YS Life, YourStory",Debolina Biswas,,scraped_techsparks2024
"Rajiv KhaitanSenior Partner, Khaitan & Co",Rajiv Khaitan,,scraped_techsparks2024
"Kanishk SinghAssistant Editor, YourStory",Kanishk Singh,,scraped_techsparks2024
"Naveen TewariFounder & CEO, InMobi Group",Naveen Tewari,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Baskar  SubramanianCo-founder & CEO, Amagi Media Labs",Baskar  Subramanian,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Phani Kishan AddepalliCo-founder & CGO, Swiggy",Phani Kishan Addepalli,,scraped_techsparks2024
"Rohit KapoorCEO - Food Marketplace, Swiggy",Rohit Kapoor,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Ankit JhingranDirector Engineering, JCPenney India",Ankit Jhingran,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Divya KrishnamurthySenior Technical Architect, Microsoft Technology Center, India",Divya Krishnamurthy,,scraped_techsparks2024
"Souparno BagchiCOO, Balancehero India",Souparno Bagchi,,scraped_techsparks2024
"Takahisa OhiraHead of Asia Region, Deloitte Tohmatsu Venture Support",Takahisa Ohira,,scraped_techsparks2024
"Shivani MuthannaDirector - Strategic Partnerships & Content, YourStory",Shivani Muthanna,,scraped_techsparks2024
"Souparno BagchiCOO, Balancehero India",Souparno Bagchi,,scraped_techsparks2024
